Date,Store_ID,SKU_ID,Beginning_Inventory,Units_Received,Units_Sold,Units_Transferred_In,Units_Transferred_Out,Damaged_Units,Ending_Inventory,Inventory_Value
2026-08-12,S006,DEC0009,1,2,2,3,1,0,1,11.4
2026-08-12,S007,DEC0009,0,3,2,1,0,0,1,11.4
2026-08-12,S008,DEC0009,1,1,1,3,2,0,1,11.4
2026-08-12,S009,DEC0009,1,1,0,0,2,0,2,22.8
2026-08-12,S010,DEC0009,0,0,0,1,3,0,0,0.0
2026-08-12,S001,DEC0010,0,1,1,3,2,0,0,0.0
2026-08-12,S002,DEC0010,0,2,2,2,1,0,0,0.0
2026-08-12,S003,DEC0010,0,1,0,1,3,0,1,29.91
2026-08-12,S004,DEC0010,0,1,1,1,1,0,0,0.0
2026-08-12,S005,DEC0010,0,1,0,2,1,0,1,29.91
2026-08-12,S006,DEC0010,1,2,2,2,2,0,1,29.91
2026-08-12,S007,DEC0010,0,5,3,3,3,0,2,59.82
2026-08-12,S008,DEC0010,0,1,1,3,1,0,0,0.0
2026-08-12,S009,DEC0010,0,0,0,0,1,0,0,0.0
2026-08-12,S010,DEC0010,0,0,0,1,0,0,0,0.0
2026-08-12,S001,DEC0011,0,5,4,1,1,0,1,12.41
2026-08-12,S002,DEC0011,0,0,0,2,1,0,0,0.0
2026-08-12,S003,DEC0011,2,1,1,1,2,0,2,24.82
2026-08-12,S004,DEC0011,0,0,0,1,2,0,0,0.0
2026-08-12,S005,DEC0011,1,7,5,2,1,0,3,37.23
2026-08-12,S006,DEC0011,3,9,8,2,1,0,4,49.64
2026-08-12,S007,DEC0011,0,3,2,1,0,0,1,12.41
2026-08-12,S008,DEC0011,0,3,2,3,2,0,1,12.41
2026-08-12,S009,DEC0011,0,3,3,0,3,0,0,0.0
2026-08-12,S010,DEC0011,0,1,0,2,2,0,1,12.41
2026-08-12,S001,DEC0012,0,2,2,3,0,0,0,0.0
2026-08-12,S002,DEC0012,0,3,2,0,3,0,1,11.67
2026-08-12,S003,DEC0012,0,1,0,1,3,0,1,11.67
2026-08-12,S004,DEC0012,0,0,0,0,1,0,0,0.0
2026-08-12,S005,DEC0012,1,5,4,1,0,0,2,23.34
2026-08-12,S006,DEC0012,0,3,2,3,1,0,1,11.67
2026-08-12,S007,DEC0012,0,0,0,3,2,0,0,0.0
2026-08-12,S008,DEC0012,1,1,1,0,2,0,1,11.67
2026-08-12,S009,DEC0012,1,5,4,3,2,0,2,23.34
2026-08-12,S010,DEC0012,0,2,1,2,1,1,1,11.67
2026-08-12,S001,DEC0013,1,3,3,2,1,0,1,24.19
2026-08-12,S002,DEC0013,0,0,0,2,2,0,0,0.0
2026-08-12,S003,DEC0013,0,1,0,3,2,0,1,24.19
2026-08-12,S004,DEC0013,0,0,0,2,0,0,0,0.0
2026-08-12,S005,DEC0013,1,0,1,1,3,0,0,0.0
2026-08-12,S006,DEC0013,1,2,2,2,3,0,1,24.19
2026-08-12,S007,DEC0013,1,0,1,3,1,0,0,0.0
2026-08-12,S008,DEC0013,2,3,3,3,3,0,2,48.38
2026-08-12,S009,DEC0013,0,1,1,3,0,0,0,0.0
2026-08-12,S010,DEC0013,0,2,2,1,0,0,0,0.0
2026-08-12,S001,DEC0014,0,0,0,0,2,0,0,0.0
2026-08-12,S002,DEC0014,0,7,5,3,3,0,2,39.76
2026-08-12,S003,DEC0014,0,1,0,2,3,0,1,19.88
2026-08-12,S004,DEC0014,0,1,0,2,0,0,1,19.88
2026-08-12,S005,DEC0014,0,9,5,3,3,0,4,79.52
2026-08-12,S006,DEC0014,1,3,3,1,1,0,1,19.88
2026-08-12,S007,DEC0014,1,0,0,2,1,0,1,19.88
2026-08-12,S008,DEC0014,0,7,5,2,0,0,2,39.76
2026-08-12,S009,DEC0014,1,2,2,1,3,0,1,19.88
2026-08-12,S010,DEC0014,1,1,0,0,0,0,2,39.76
2026-08-12,S001,DEC0015,0,1,0,0,0,0,1,12.15
2026-08-12,S002,DEC0015,0,2,1,3,1,0,1,12.15
2026-08-12,S003,DEC0015,1,0,1,1,1,0,0,0.0
2026-08-12,S004,DEC0015,0,0,0,2,0,0,0,0.0
2026-08-12,S005,DEC0015,0,0,0,1,2,0,0,0.0
2026-08-12,S006,DEC0015,0,3,1,2,1,0,2,24.3
2026-08-12,S007,DEC0015,0,2,2,2,2,0,0,0.0
2026-08-12,S008,DEC0015,2,0,0,3,1,0,2,24.3
2026-08-12,S009,DEC0015,0,1,0,1,0,0,1,12.15
2026-08-12,S010,DEC0015,0,1,0,2,3,0,1,12.15
2026-08-12,S001,DEC0016,1,0,0,0,2,0,1,32.23
2026-08-12,S002,DEC0016,0,0,0,0,2,0,0,0.0
2026-08-12,S003,DEC0016,1,0,1,0,2,0,0,0.0
2026-08-12,S004,DEC0016,0,0,0,0,3,0,0,0.0
2026-08-12,S005,DEC0016,0,3,1,0,1,0,2,64.46
2026-08-12,S006,DEC0016,0,0,0,0,1,0,0,0.0
2026-08-12,S007,DEC0016,1,0,1,1,2,0,0,0.0
2026-08-12,S008,DEC0016,0,0,0,2,1,0,0,0.0
2026-08-12,S009,DEC0016,0,0,0,2,1,0,0,0.0
2026-08-12,S010,DEC0016,0,0,0,3,0,0,0,0.0
2026-08-12,S001,DEC0017,1,0,1,1,1,0,0,0.0
2026-08-12,S002,DEC0017,0,0,0,0,1,0,0,0.0
2026-08-12,S003,DEC0017,0,0,0,2,2,0,0,0.0
2026-08-12,S004,DEC0017,1,1,0,2,2,0,2,37.46
2026-08-12,S005,DEC0017,1,0,0,3,0,0,1,18.73
2026-08-12,S006,DEC0017,0,0,0,1,3,0,0,0.0
2026-08-12,S007,DEC0017,1,0,0,2,3,0,1,18.73
2026-08-12,S008,DEC0017,0,0,0,1,0,0,0,0.0
2026-08-12,S009,DEC0017,0,0,0,0,0,0,0,0.0
2026-08-12,S010,DEC0017,0,0,0,1,0,0,0,0.0
2026-08-12,S001,DEC0018,0,0,0,0,0,0,0,0.0
2026-08-12,S002,DEC0018,1,1,1,1,3,0,1,37.73
2026-08-12,S003,DEC0018,0,0,0,3,0,0,0,0.0
2026-08-12,S004,DEC0018,1,0,0,2,0,0,1,37.73
2026-08-12,S005,DEC0018,0,0,0,3,0,0,0,0.0
2026-08-12,S006,DEC0018,0,0,0,3,2,0,0,0.0
2026-08-12,S007,DEC0018,0,3,1,0,1,0,2,75.46
2026-08-12,S008,DEC0018,2,4,4,1,2,0,2,75.46
2026-08-12,S009,DEC0018,0,2,1,0,0,0,1,37.73
2026-08-12,S010,DEC0018,0,0,0,3,0,0,0,0.0
2026-08-12,S001,DEC0019,0,1,0,0,1,0,1,30.39
2026-08-12,S002,DEC0019,0,5,3,1,1,0,2,60.78
2026-08-12,S003,DEC0019,1,0,0,0,2,0,1,30.39
2026-08-12,S004,DEC0019,0,0,0,1,3,0,0,0.0
2026-08-12,S005,DEC0019,1,0,1,3,3,0,0,0.0
2026-08-12,S006,DEC0019,0,1,0,1,2,0,1,30.39
2026-08-12,S007,DEC0019,0,1,1,3,1,0,0,0.0
2026-08-12,S008,DEC0019,0,1,0,2,3,0,1,30.39
2026-08-12,S009,DEC0019,0,0,0,3,2,0,0,0.0
2026-08-12,S010,DEC0019,0,0,0,1,3,0,0,0.0
2026-08-12,S001,DEC0020,1,0,1,3,3,0,0,0.0
2026-08-12,S002,DEC0020,0,1,1,1,3,0,0,0.0
2026-08-12,S003,DEC0020,0,3,2,3,3,0,1,49.6
2026-08-12,S004,DEC0020,0,0,0,0,2,0,0,0.0
2026-08-12,S005,DEC0020,0,0,0,2,3,0,0,0.0
2026-08-12,S006,DEC0020,1,0,0,0,1,0,1,49.6
2026-08-12,S007,DEC0020,1,0,1,1,2,0,0,0.0
2026-08-12,S008,DEC0020,1,4,4,2,1,0,1,49.6
2026-08-12,S009,DEC0020,0,3,2,3,2,0,1,49.6
2026-08-12,S010,DEC0020,0,0,0,1,3,0,0,0.0
2026-08-12,S001,DEC0021,0,0,0,1,2,0,0,0.0
2026-08-12,S002,DEC0021,0,0,0,2,3,0,0,0.0
2026-08-12,S003,DEC0021,0,0,0,0,3,0,0,0.0
2026-08-12,S004,DEC0021,1,1,1,0,3,0,1,21.38
2026-08-12,S005,DEC0021,0,0,0,1,0,0,0,0.0
2026-08-12,S006,DEC0021,0,0,0,3,3,0,0,0.0
2026-08-12,S007,DEC0021,0,0,0,3,2,0,0,0.0
2026-08-12,S008,DEC0021,0,0,0,2,1,0,0,0.0
2026-08-12,S009,DEC0021,1,5,4,1,0,0,2,42.76
2026-08-12,S010,DEC0021,0,0,0,0,0,0,0,0.0
2026-08-12,S001,DEC0022,1,3,2,0,1,1,2,58.08
2026-08-12,S002,DEC0022,0,0,0,3,3,0,0,0.0
2026-08-12,S003,DEC0022,0,3,2,1,1,0,1,29.04
2026-08-12,S004,DEC0022,1,2,2,1,3,0,1,29.04
2026-08-12,S005,DEC0022,1,0,0,3,0,0,1,29.04
2026-08-12,S006,DEC0022,0,1,1,0,2,0,0,0.0
2026-08-12,S007,DEC0022,1,0,0,1,0,0,1,29.04
2026-08-12,S008,DEC0022,0,0,0,2,3,0,0,0.0
2026-08-12,S009,DEC0022,0,1,1,1,3,0,0,0.0
2026-08-12,S010,DEC0022,0,0,0,1,1,0,0,0.0
2026-08-12,S001,DEC0023,1,0,0,0,1,0,1,55.59
2026-08-12,S002,DEC0023,0,3,2,0,1,1,1,55.59
2026-08-12,S003,DEC0023,0,2,1,2,3,0,1,55.59
2026-08-12,S004,DEC0023,1,0,0,3,2,0,1,55.59
2026-08-12,S005,DEC0023,0,3,1,0,0,0,2,111.18
2026-08-12,S006,DEC0023,0,4,3,3,3,0,1,55.59
2026-08-12,S007,DEC0023,1,0,1,0,3,0,0,0.0
2026-08-12,S008,DEC0023,0,0,0,1,0,0,0,0.0
2026-08-12,S009,DEC0023,0,0,0,1,2,0,0,0.0
2026-08-12,S010,DEC0023,0,0,0,2,1,0,0,0.0
2026-08-12,S001,DEC0024,0,0,0,2,3,0,0,0.0
2026-08-12,S002,DEC0024,1,0,0,3,0,0,1,49.01
2026-08-12,S003,DEC0024,0,0,0,0,0,0,0,0.0
2026-08-12,S004,DEC0024,0,5,4,1,2,0,1,49.01
2026-08-12,S005,DEC0024,0,0,0,0,3,1,0,0.0
2026-08-12,S006,DEC0024,0,0,0,1,3,0,0,0.0
2026-08-12,S007,DEC0024,0,1,0,3,0,0,1,49.01
2026-08-12,S008,DEC0024,0,4,3,3,1,0,1,49.01
2026-08-12,S009,DEC0024,1,0,1,3,2,0,0,0.0
2026-08-12,S010,DEC0024,0,0,0,1,3,0,0,0.0
2026-08-12,S001,DEC0025,0,0,0,0,0,0,0,0.0
2026-08-12,S002,DEC0025,2,4,4,2,1,0,2,86.14
2026-08-12,S003,DEC0025,0,2,1,3,0,0,1,43.07
2026-08-12,S004,DEC0025,0,0,0,1,0,0,0,0.0
2026-08-12,S005,DEC0025,1,1,1,2,1,0,1,43.07
2026-08-12,S006,DEC0025,0,1,0,2,1,0,1,43.07
2026-08-12,S007,DEC0025,0,8,6,3,2,0,2,86.14
2026-08-12,S008,DEC0025,0,2,1,2,2,0,1,43.07
2026-08-12,S009,DEC0025,0,0,0,1,0,0,0,0.0
2026-08-12,S010,DEC0025,0,2,2,1,3,0,0,0.0
2026-08-12,S001,DEC0026,0,3,3,2,2,0,0,0.0
2026-08-12,S002,DEC0026,1,0,1,0,3,0,0,0.0
2026-08-12,S003,DEC0026,1,1,0,3,3,0,2,30.02
2026-08-12,S004,DEC0026,1,0,0,3,3,0,1,15.01
2026-08-12,S005,DEC0026,0,0,0,1,1,0,0,0.0
2026-08-12,S006,DEC0026,0,1,1,1,1,0,0,0.0
2026-08-12,S007,DEC0026,0,5,3,2,0,0,2,30.02
2026-08-12,S008,DEC0026,0,1,1,0,2,0,0,0.0
2026-08-12,S009,DEC0026,0,0,0,3,0,0,0,0.0
2026-08-12,S010,DEC0026,0,2,1,3,1,0,1,15.01
2026-08-12,S001,DEC0027,1,3,3,2,1,0,1,31.33
2026-08-12,S002,DEC0027,0,0,0,3,1,0,0,0.0
2026-08-12,S003,DEC0027,0,3,2,0,2,0,1,31.33
2026-08-12,S004,DEC0027,0,2,1,0,1,0,1,31.33
2026-08-12,S005,DEC0027,2,5,4,3,2,0,3,93.99
2026-08-12,S006,DEC0027,0,6,3,2,2,0,3,93.99
2026-08-12,S007,DEC0027,0,1,0,1,1,0,1,31.33
2026-08-12,S008,DEC0027,0,7,5,2,2,0,2,62.66
2026-08-12,S009,DEC0027,0,5,3,1,1,0,2,62.66
2026-08-12,S010,DEC0027,0,0,0,1,2,0,0,0.0
2026-08-12,S001,DEC0028,0,2,1,3,3,0,1,21.01
2026-08-12,S002,DEC0028,2,4,3,3,2,0,3,63.03
2026-08-12,S003,DEC0028,0,0,0,1,2,0,0,0.0
2026-08-12,S004,DEC0028,0,1,0,2,2,0,1,21.01
2026-08-12,S005,DEC0028,1,1,0,1,2,0,2,42.02
2026-08-12,S006,DEC0028,2,6,5,2,1,0,3,63.03
2026-08-12,S007,DEC0028,0,0,0,2,3,0,0,0.0
2026-08-12,S008,DEC0028,0,4,3,3,1,0,1,21.01
2026-08-12,S009,DEC0028,1,0,0,1,0,0,1,21.01
2026-08-12,S010,DEC0028,0,2,1,2,3,0,1,21.01
2026-08-12,S001,DEC0029,1,0,0,3,3,0,1,54.42
2026-08-12,S002,DEC0029,0,4,2,2,0,0,2,108.84
2026-08-12,S003,DEC0029,0,2,1,3,1,0,1,54.42
2026-08-12,S004,DEC0029,0,0,0,1,1,0,0,0.0
2026-08-12,S005,DEC0029,0,4,3,2,1,0,1,54.42
2026-08-12,S006,DEC0029,0,4,3,1,0,0,1,54.42
2026-08-12,S007,DEC0029,1,2,1,0,2,0,2,108.84
2026-08-12,S008,DEC0029,0,4,3,0,2,0,1,54.42
2026-08-12,S009,DEC0029,1,1,0,2,2,0,2,108.84
2026-08-12,S010,DEC0029,1,2,2,2,0,0,1,54.42
2026-08-12,S001,DEC0030,2,4,4,1,1,0,2,95.64
2026-08-12,S002,DEC0030,1,5,3,3,1,0,3,143.46
2026-08-12,S003,DEC0030,1,1,1,0,0,0,1,47.82
2026-08-12,S004,DEC0030,1,1,1,2,1,0,1,47.82
2026-08-12,S005,DEC0030,1,6,5,3,0,0,2,95.64
2026-08-12,S006,DEC0030,0,2,1,0,1,0,1,47.82
2026-08-12,S007,DEC0030,0,4,3,2,0,0,1,47.82
2026-08-12,S008,DEC0030,1,5,3,3,1,0,3,143.46
2026-08-12,S009,DEC0030,1,0,0,2,3,0,1,47.82
2026-08-12,S010,DEC0030,1,2,1,1,0,0,2,95.64
2026-08-12,S001,DEC0031,2,4,4,3,0,0,2,99.54
2026-08-12,S002,DEC0031,0,0,0,2,2,0,0,0.0
2026-08-12,S003,DEC0031,1,0,1,0,1,0,0,0.0
2026-08-12,S004,DEC0031,0,0,0,3,1,0,0,0.0
2026-08-12,S005,DEC0031,0,0,0,1,2,0,0,0.0
2026-08-12,S006,DEC0031,0,1,0,0,1,0,1,49.77
2026-08-12,S007,DEC0031,0,1,1,1,2,0,0,0.0
2026-08-12,S008,DEC0031,1,2,2,0,0,0,1,49.77
2026-08-12,S009,DEC0031,0,11,7,1,0,0,4,199.08
2026-08-12,S010,DEC0031,0,1,1,1,0,0,0,0.0
2026-08-12,S001,DEC0032,0,3,2,2,2,0,1,10.58
2026-08-12,S002,DEC0032,2,0,0,0,1,0,2,21.16
2026-08-12,S003,DEC0032,0,0,0,1,2,0,0,0.0
2026-08-12,S004,DEC0032,0,5,3,2,2,0,2,21.16
2026-08-12,S005,DEC0032,0,1,0,3,2,0,1,10.58
2026-08-12,S006,DEC0032,1,4,4,0,3,0,1,10.58
2026-08-12,S007,DEC0032,0,0,0,1,1,0,0,0.0
2026-08-12,S008,DEC0032,1,1,1,0,3,0,1,10.58
2026-08-12,S009,DEC0032,0,1,0,2,3,0,1,10.58
2026-08-12,S010,DEC0032,0,0,0,2,3,0,0,0.0
2026-08-12,S001,DEC0033,0,1,0,2,0,0,1,20.12
2026-08-12,S002,DEC0033,1,0,1,1,1,0,0,0.0
2026-08-12,S003,DEC0033,0,0,0,0,0,0,0,0.0
2026-08-12,S004,DEC0033,0,2,1,0,0,0,1,20.12
2026-08-12,S005,DEC0033,0,3,2,2,1,0,1,20.12
2026-08-12,S006,DEC0033,0,2,1,2,1,0,1,20.12
2026-08-12,S007,DEC0033,0,3,2,0,1,0,1,20.12
2026-08-12,S008,DEC0033,0,0,0,0,3,0,0,0.0
2026-08-12,S009,DEC0033,2,4,4,2,1,0,2,40.24
2026-08-12,S010,DEC0033,0,1,0,1,2,1,1,20.12
2026-08-12,S001,DEC0034,0,0,0,0,1,0,0,0.0
2026-08-12,S002,DEC0034,2,3,3,1,2,0,2,79.32
2026-08-12,S003,DEC0034,1,0,0,2,3,0,1,39.66
2026-08-12,S004,DEC0034,1,3,3,1,2,0,1,39.66
2026-08-12,S005,DEC0034,2,4,4,0,1,0,2,79.32
2026-08-12,S006,DEC0034,0,0,0,0,1,0,0,0.0
2026-08-12,S007,DEC0034,2,0,0,0,1,1,2,79.32
2026-08-12,S008,DEC0034,0,0,0,0,0,0,0,0.0
2026-08-12,S009,DEC0034,1,0,1,3,1,0,0,0.0
2026-08-12,S010,DEC0034,1,1,2,1,2,0,0,0.0
2026-08-12,S001,DEC0035,0,2,0,3,3,0,2,125.28
2026-08-12,S002,DEC0035,0,0,0,1,1,0,0,0.0
2026-08-12,S003,DEC0035,1,1,1,2,3,0,1,62.64
2026-08-12,S004,DEC0035,0,0,0,2,3,0,0,0.0
2026-08-12,S005,DEC0035,0,4,2,2,1,0,2,125.28
2026-08-12,S006,DEC0035,1,2,2,2,2,0,1,62.64
2026-08-12,S007,DEC0035,1,0,0,1,2,0,1,62.64
2026-08-12,S008,DEC0035,1,0,0,1,2,0,1,62.64
2026-08-12,S009,DEC0035,0,0,0,1,0,0,0,0.0
2026-08-12,S010,DEC0035,0,0,0,3,3,0,0,0.0
2026-08-12,S001,DEC0036,0,1,0,1,1,0,1,52.03
2026-08-12,S002,DEC0036,2,5,5,1,1,0,2,104.06
2026-08-12,S003,DEC0036,0,1,0,3,1,0,1,52.03
2026-08-12,S004,DEC0036,0,0,0,1,0,0,0,0.0
2026-08-12,S005,DEC0036,0,2,2,2,3,0,0,0.0
2026-08-12,S006,DEC0036,1,1,0,0,2,0,2,104.06
2026-08-12,S007,DEC0036,0,2,2,3,2,0,0,0.0
2026-08-12,S008,DEC0036,0,1,0,1,3,0,1,52.03
2026-08-12,S009,DEC0036,0,1,0,1,2,0,1,52.03
2026-08-12,S010,DEC0036,0,1,0,1,0,0,1,52.03
2026-08-12,S001,DEC0037,0,1,1,3,0,0,0,0.0
2026-08-12,S002,DEC0037,1,1,1,0,0,0,1,36.83
2026-08-12,S003,DEC0037,0,3,2,3,3,0,1,36.83
2026-08-12,S004,DEC0037,0,0,0,3,0,0,0,0.0
2026-08-12,S005,DEC0037,0,1,0,0,0,0,1,36.83
2026-08-12,S006,DEC0037,1,0,1,3,0,0,0,0.0
2026-08-12,S007,DEC0037,1,2,2,2,2,0,1,36.83
2026-08-12,S008,DEC0037,1,0,0,2,2,0,1,36.83
2026-08-12,S009,DEC0037,0,1,1,2,2,0,0,0.0
2026-08-12,S010,DEC0037,1,1,1,0,2,0,1,36.83
2026-08-12,S001,DEC0038,0,3,2,2,2,0,1,12.03
2026-08-12,S002,DEC0038,1,0,0,3,1,0,1,12.03
2026-08-12,S003,DEC0038,0,3,1,2,2,0,2,24.06
2026-08-12,S004,DEC0038,0,0,0,0,2,0,0,0.0
2026-08-12,S005,DEC0038,1,0,0,3,1,0,1,12.03
2026-08-12,S006,DEC0038,0,4,2,1,3,0,2,24.06
2026-08-12,S007,DEC0038,1,0,1,3,2,0,0,0.0
2026-08-12,S008,DEC0038,0,1,1,0,1,0,0,0.0
2026-08-12,S009,DEC0038,0,0,0,0,3,0,0,0.0
2026-08-12,S010,DEC0038,1,1,1,2,1,0,1,12.03
2026-08-12,S001,DEC0039,0,0,0,3,3,0,0,0.0
2026-08-12,S002,DEC0039,0,7,4,1,3,0,3,169.14
2026-08-12,S003,DEC0039,0,4,3,3,2,0,1,56.38
2026-08-12,S004,DEC0039,1,0,1,3,2,0,0,0.0
2026-08-12,S005,DEC0039,0,2,0,3,0,0,2,112.76
2026-08-12,S006,DEC0039,1,3,2,2,1,0,2,112.76
2026-08-12,S007,DEC0039,0,0,0,1,1,0,0,0.0
2026-08-12,S008,DEC0039,1,2,2,1,2,1,1,56.38
2026-08-12,S009,DEC0039,0,1,0,3,3,0,1,56.38
2026-08-12,S010,DEC0039,1,0,1,2,1,0,0,0.0
2026-08-12,S001,DEC0040,0,8,5,3,3,0,3,151.14
2026-08-12,S002,DEC0040,0,1,0,0,3,0,1,50.38
2026-08-12,S003,DEC0040,1,0,1,0,1,0,0,0.0
2026-08-12,S004,DEC0040,0,0,0,1,2,0,0,0.0
2026-08-12,S005,DEC0040,1,2,2,2,2,0,1,50.38
2026-08-12,S006,DEC0040,3,13,10,3,1,0,6,302.28
2026-08-12,S007,DEC0040,0,1,0,1,1,0,1,50.38
2026-08-12,S008,DEC0040,0,5,4,2,0,0,1,50.38
2026-08-12,S009,DEC0040,0,1,0,2,1,0,1,50.38
2026-08-12,S010,DEC0040,0,0,0,3,2,0,0,0.0
2026-08-12,S001,DEC0041,0,0,0,2,0,0,0,0.0
2026-08-12,S002,DEC0041,1,0,0,0,2,0,1,38.56
2026-08-12,S003,DEC0041,2,1,1,1,2,0,2,77.12
2026-08-12,S004,DEC0041,1,0,1,1,0,0,0,0.0
2026-08-12,S005,DEC0041,0,0,0,2,3,0,0,0.0
2026-08-12,S006,DEC0041,1,0,1,0,2,0,0,0.0
