Markdown_ID,SKU_ID,Store_ID,Markdown_Date,Original_Price,Markdown_Price,Markdown_Percentage,Inventory_Before_Markdown,Units_Sold_After_Markdown,Revenue_After_Markdown,Velocity_Before,Velocity_After
MD00027,DEC0047,S005,2026-06-12,103.34,82.67,0.2,8,4,297.62,0.4,0.9
MD00028,DEC0113,S005,2026-06-08,68.91,41.35,0.4,6,4,148.85,0.4,0.9
MD00029,TOW1430,S006,2026-06-06,57.33,34.4,0.4,7,4,137.59,0.4,1.0
MD00030,KIT0954,S009,2026-07-20,34.23,20.54,0.4,5,3,57.51,0.4,0.7
MD00031,MIR0376,S002,2026-07-04,128.87,90.21,0.3,7,4,324.75,0.4,0.9
MD00032,ORG1707,S007,2026-06-22,20.05,12.03,0.4,7,3,38.5,0.4,0.8
MD00033,TAB0790,S005,2026-05-31,602.99,361.79,0.4,5,3,1157.74,0.4,0.8
MD00034,SUM2039,S008,2026-06-21,41.12,30.84,0.25,6,3,98.69,0.4,0.8
MD00035,BSK1596,S008,2026-06-21,48.1,36.08,0.25,6,3,115.44,0.4,0.8
MD00036,KIT0943,S002,2026-06-28,115.4,69.24,0.4,6,4,249.26,0.4,0.9
MD00037,TEX0464,S009,2026-07-01,41.79,29.25,0.3,5,3,93.61,0.4,0.8
MD00038,CND2157,S003,2026-07-27,80.04,56.03,0.3,6,3,156.88,0.4,0.7
MD00039,DEC0042,S008,2026-07-29,67.91,50.93,0.25,6,3,162.98,0.4,0.8
MD00040,KIT0858,S005,2026-06-24,54.12,40.59,0.25,5,3,113.65,0.4,0.7
MD00041,SRV1009,S002,2026-07-23,46.58,27.95,0.4,7,4,111.79,0.4,1.0
MD00042,DEC0004,S009,2026-07-21,34.58,27.66,0.2,6,4,99.59,0.4,0.9
MD00043,DEC0164,S006,2026-07-25,63.31,37.99,0.4,8,4,136.75,0.5,0.9
MD00044,WAL0191,S005,2026-05-29,125.01,93.76,0.25,6,4,337.53,0.4,0.9
MD00045,WAL0328,S008,2026-07-16,154.54,115.91,0.25,6,3,324.53,0.4,0.7
MD00046,SEA0730,S008,2026-07-03,294.45,235.56,0.2,5,3,753.79,0.4,0.8
MD00047,DEC0104,S010,2026-06-17,75.4,45.24,0.4,5,3,144.77,0.4,0.8
MD00048,SEA0678,S002,2026-07-14,661.4,496.05,0.25,5,3,1388.94,0.4,0.7
MD00049,DEC0113,S010,2026-06-12,68.91,41.35,0.4,5,3,115.77,0.4,0.7
MD00050,KIT0882,S006,2026-07-12,215.44,161.58,0.25,5,3,517.06,0.4,0.8
MD00051,WAL0226,S001,2026-07-14,52.55,31.53,0.4,5,3,100.9,0.4,0.8
MD00052,SEA0724,S008,2026-06-09,285.88,214.41,0.25,5,3,686.11,0.4,0.8
MD00053,FUR0572,S008,2026-06-08,134.27,100.7,0.25,6,4,362.53,0.4,0.9
MD00054,TEX0505,S002,2026-06-29,38.94,23.36,0.4,6,3,74.76,0.4,0.8
MD00055,PEN1886,S008,2026-06-08,371.36,278.52,0.25,7,4,1114.08,0.4,1.0
MD00056,TAB0822,S008,2026-07-12,342.37,256.78,0.25,4,2,616.27,0.4,0.6
MD00057,KIT0938,S003,2026-07-01,32.82,26.26,0.2,6,3,84.02,0.4,0.8
MD00058,MIR0363,S008,2026-06-19,99.14,79.31,0.2,5,3,253.8,0.4,0.8
MD00059,FUR0575,S010,2026-07-16,457.48,274.49,0.4,4,2,658.77,0.4,0.6
MD00060,SHL1652,S008,2026-06-20,131.13,91.79,0.3,8,4,330.45,0.4,0.9
MD00061,WAL0344,S001,2026-07-27,81.8,65.44,0.2,5,2,157.06,0.4,0.6
MD00062,SRV1065,S004,2026-07-19,51.29,35.9,0.3,5,3,114.89,0.4,0.8
MD00063,SRV1028,S009,2026-06-02,66.23,46.36,0.3,5,3,129.81,0.4,0.7
MD00064,MIR0373,S008,2026-06-29,147.98,118.38,0.2,7,4,473.54,0.4,1.0
MD00065,BSK1650,S005,2026-07-26,20.65,14.45,0.3,8,4,52.04,0.4,0.9
MD00066,CND2104,S008,2026-06-19,61.26,49.01,0.2,11,7,352.86,0.8,1.8
MD00067,CND2161,S009,2026-06-23,54.85,43.88,0.2,5,2,105.31,0.4,0.6
MD00068,SRV1024,S002,2026-07-26,69.64,55.71,0.2,7,4,222.85,0.4,1.0
MD00069,TEX0482,S010,2026-07-17,35.77,28.62,0.2,6,4,103.02,0.4,0.9
MD00070,FLR1851,S002,2026-08-04,224.67,179.74,0.2,9,4,790.84,0.6,1.1
MD00071,FUR0612,S001,2026-07-07,247.33,173.13,0.3,7,4,623.27,0.4,0.9
MD00072,BSK1597,S006,2026-06-27,48.57,34.0,0.3,7,4,122.4,0.4,0.9
MD00073,SRV1058,S002,2026-06-25,104.38,73.07,0.3,4,2,175.36,0.4,0.6
MD00074,FUR0560,S010,2026-07-18,536.97,322.18,0.4,6,4,1159.86,0.4,0.9
MD00075,FUR0624,S004,2026-05-31,460.6,345.45,0.25,5,3,1105.44,0.4,0.8
MD00076,SEA0723,S004,2026-06-07,276.56,193.59,0.3,6,4,696.93,0.4,0.9
MD00077,GFT2224,S003,2026-07-30,154.39,123.51,0.2,7,4,444.64,0.4,0.9
MD00078,CND2136,S006,2026-07-21,50.11,37.58,0.25,9,4,135.3,0.4,0.9
MD00079,FUR0587,S006,2026-06-13,167.31,133.85,0.2,6,4,481.85,0.4,0.9
MD00080,DEC0076,S005,2026-07-17,116.68,93.34,0.2,8,4,336.04,0.4,0.9
MD00081,WAL0301,S009,2026-06-13,71.92,53.94,0.25,7,4,194.18,0.4,0.9
MD00082,WAL0292,S007,2026-07-23,39.1,27.37,0.3,5,3,76.64,0.4,0.7
MD00083,WAL0319,S005,2026-06-19,39.09,27.36,0.3,6,3,87.56,0.4,0.8
MD00084,UTL1119,S007,2026-08-04,14.78,11.82,0.2,5,3,37.84,0.4,0.8
MD00085,DEC0094,S005,2026-06-19,117.32,82.12,0.3,6,4,295.65,0.4,0.9
MD00086,FRM2176,S002,2026-06-13,48.04,33.63,0.3,9,4,121.06,0.4,0.9
MD00087,SRV0990,S006,2026-07-04,142.28,106.71,0.25,6,4,384.16,0.4,0.9
MD00088,DEC0078,S004,2026-07-21,61.2,36.72,0.4,6,4,132.19,0.4,0.9
MD00089,SUM2023,S009,2026-06-19,32.85,24.64,0.25,8,4,98.55,0.4,1.0
MD00090,WAL0306,S005,2026-06-01,114.12,68.47,0.4,5,3,191.72,0.4,0.7
MD00091,DEC0173,S008,2026-07-10,75.81,60.65,0.2,6,4,218.33,0.4,0.9
MD00092,DEC0174,S009,2026-06-25,77.9,46.74,0.4,6,3,130.87,0.4,0.7
MD00093,DEC0092,S002,2026-07-18,109.11,87.29,0.2,4,2,209.49,0.4,0.6
MD00094,TEX0489,S006,2026-06-17,62.68,43.88,0.3,7,4,157.95,0.4,0.9
MD00095,WAL0254,S001,2026-07-28,175.11,131.33,0.25,6,4,472.8,0.4,0.9
MD00096,FRM2173,S007,2026-07-25,48.24,33.77,0.3,6,3,108.06,0.4,0.8
MD00097,FUR0612,S008,2026-07-21,247.33,185.5,0.25,5,2,445.19,0.4,0.6
MD00098,TAB0783,S009,2026-06-27,236.89,189.51,0.2,6,4,682.24,0.4,0.9
MD00099,CND2102,S002,2026-07-30,40.74,28.52,0.3,7,3,79.85,0.4,0.7
MD00100,TEX0438,S003,2026-07-23,97.59,78.07,0.2,6,4,281.06,0.4,0.9
MD00101,GFT2219,S006,2026-06-18,122.98,92.23,0.25,7,4,332.05,0.4,0.9
MD00102,FUR0675,S001,2026-06-11,153.0,122.4,0.2,6,4,489.6,0.4,1.0
MD00103,FUR0605,S006,2026-06-22,507.63,406.1,0.2,6,4,1461.97,0.4,0.9
MD00104,BSK1650,S008,2026-07-13,20.65,15.49,0.25,6,3,49.56,0.4,0.8
MD00105,TEX0510,S006,2026-06-26,94.98,71.23,0.25,9,4,313.43,0.7,1.1
MD00106,TAB0763,S006,2026-06-12,641.3,384.78,0.4,5,3,1231.3,0.4,0.8
MD00107,DEC0156,S008,2026-08-01,105.16,63.1,0.4,6,4,252.38,0.4,1.0
MD00108,MIR0395,S002,2026-06-09,206.63,144.64,0.3,6,3,462.85,0.4,0.8
MD00109,SEA0680,S010,2026-06-15,639.47,479.6,0.25,6,3,1534.73,0.4,0.8
MD00110,SHT1330,S003,2026-06-23,119.22,95.38,0.2,7,3,305.2,0.4,0.8
MD00111,SRV0977,S008,2026-06-28,100.59,70.41,0.3,6,4,253.49,0.4,0.9
MD00112,CHR1972,S003,2026-07-07,103.34,82.67,0.2,7,4,330.69,0.4,1.0
MD00113,TEX0432,S005,2026-07-10,80.09,60.07,0.25,6,3,192.22,0.4,0.8
MD00114,UTL1121,S005,2026-06-17,37.72,22.63,0.4,5,3,72.42,0.4,0.8
MD00115,SEA0680,S008,2026-07-26,639.47,383.68,0.4,4,2,920.84,0.4,0.6
MD00116,TEX0524,S005,2026-07-07,74.39,44.63,0.4,6,3,142.83,0.4,0.8
MD00117,TEX0495,S010,2026-06-15,86.22,51.73,0.4,7,4,206.93,0.4,1.0
MD00118,TEX0507,S009,2026-06-18,82.04,65.63,0.2,9,3,210.02,0.5,0.8
MD00119,DEC0068,S008,2026-06-14,84.9,63.68,0.25,5,3,203.76,0.4,0.8
MD00120,BSK1587,S008,2026-07-04,66.19,39.71,0.4,7,4,142.97,0.4,0.9
MD00121,PEN1899,S007,2026-06-28,245.08,147.05,0.4,10,6,882.29,0.6,1.5
MD00122,DEC0090,S002,2026-06-21,112.47,89.98,0.2,6,2,215.94,0.4,0.6
MD00123,SRV1038,S002,2026-07-17,62.75,50.2,0.2,6,4,200.8,0.4,1.0
MD00124,KIT0851,S004,2026-06-28,62.57,46.93,0.25,6,4,187.71,0.4,1.0
MD00125,TAB0842,S007,2026-06-15,574.92,431.19,0.25,6,3,1207.33,0.4,0.7
MD00126,BSK1612,S004,2026-07-10,88.74,66.55,0.25,6,2,159.73,0.4,0.6
MD00127,DEC0046,S009,2026-06-10,25.07,18.8,0.25,6,4,67.69,0.4,0.9
MD00128,KIT0965,S010,2026-07-23,75.22,45.13,0.4,5,3,144.42,0.4,0.8
MD00129,WAL0201,S002,2026-06-12,61.68,37.01,0.4,5,3,118.43,0.4,0.8
MD00130,WAL0241,S008,2026-06-19,145.31,116.25,0.2,5,3,371.99,0.4,0.8
MD00131,BSK1650,S009,2026-07-29,20.65,14.45,0.3,7,3,46.26,0.4,0.8
MD00132,MIR0369,S007,2026-07-31,84.66,59.26,0.3,5,3,189.64,0.4,0.8
MD00133,SRV1036,S006,2026-06-28,113.6,79.52,0.3,5,3,254.46,0.4,0.8
MD00134,DEC0115,S008,2026-06-18,52.68,42.14,0.2,7,4,151.72,0.4,0.9
MD00135,WAL0256,S002,2026-06-19,58.34,43.76,0.25,5,3,122.51,0.4,0.7
MD00136,KIT0872,S005,2026-06-28,149.18,119.34,0.2,6,4,429.64,0.4,0.9
MD00137,DEC0041,S003,2026-07-10,69.51,52.13,0.25,5,3,145.97,0.4,0.7
MD00138,PEN1911,S003,2026-07-15,138.36,83.02,0.4,8,4,332.06,0.6,1.0
MD00139,WAL0341,S007,2026-06-03,30.99,24.79,0.2,5,3,69.42,0.4,0.7
MD00140,TEX0549,S006,2026-07-11,105.09,78.82,0.25,6,3,220.69,0.4,0.7
MD00141,SRV0972,S002,2026-06-16,81.82,61.36,0.25,5,3,171.82,0.4,0.7
MD00142,WAL0197,S001,2026-07-24,63.59,50.87,0.2,6,4,183.14,0.4,0.9
MD00143,DEC0180,S002,2026-07-07,121.58,85.11,0.3,7,4,306.38,0.4,0.9
MD00144,DEC0116,S008,2026-07-07,41.39,31.04,0.25,6,4,111.75,0.4,0.9
MD00145,KIT0854,S008,2026-06-28,165.08,99.05,0.4,8,4,396.19,0.6,1.0
MD00146,DEC0099,S007,2026-06-17,109.98,65.99,0.4,6,4,237.56,0.4,0.9
MD00147,KIT0868,S002,2026-06-09,67.15,50.36,0.25,4,2,120.87,0.4,0.6
MD00148,SEA0753,S004,2026-07-01,704.97,493.48,0.3,5,3,1381.74,0.4,0.7
MD00149,SEA0723,S001,2026-05-29,276.56,193.59,0.3,5,3,619.49,0.4,0.8
MD00150,UTL1132,S006,2026-08-04,63.51,47.63,0.25,5,3,133.37,0.4,0.7
MD00151,BSK1598,S010,2026-07-25,99.21,79.37,0.2,6,2,190.48,0.4,0.6
MD00152,CND2133,S003,2026-05-29,27.09,18.96,0.3,9,4,83.44,0.6,1.1
MD00153,TAB0843,S008,2026-07-14,621.18,496.94,0.2,7,4,1789.0,0.4,0.9
MD00154,SRV0979,S007,2026-07-27,102.36,61.42,0.4,6,4,221.1,0.4,0.9
MD00155,CND2132,S001,2026-06-21,42.47,33.98,0.2,6,3,108.72,0.4,0.8
MD00156,CHR1944,S003,2026-07-28,41.83,31.37,0.25,5,2,75.29,0.4,0.6
MD00157,MIR0403,S006,2026-07-07,108.07,86.46,0.2,5,3,242.08,0.4,0.7
MD00158,DEC0006,S002,2026-07-25,21.56,15.09,0.3,5,3,42.26,0.4,0.7
MD00159,TEX0522,S002,2026-06-29,61.77,37.06,0.4,5,3,103.77,0.4,0.7
MD00160,DEC0166,S001,2026-07-04,97.83,58.7,0.4,6,4,211.31,0.4,0.9
MD00161,ORG1722,S006,2026-07-14,75.28,56.46,0.25,7,4,203.26,0.4,0.9
MD00162,TAB0848,S003,2026-06-15,215.26,129.16,0.4,5,3,361.64,0.4,0.7
MD00163,DEC0056,S001,2026-05-29,95.02,57.01,0.4,6,4,205.24,0.4,0.9
MD00164,SHL1656,S002,2026-07-15,199.49,159.59,0.2,6,3,446.86,0.4,0.7
MD00165,TAB0793,S006,2026-06-24,321.96,241.47,0.25,4,2,579.53,0.4,0.6
MD00166,CND2113,S002,2026-06-17,51.55,36.08,0.3,8,3,101.04,0.4,0.7
MD00167,WAL0350,S006,2026-07-16,76.5,53.55,0.3,5,3,149.94,0.4,0.7
MD00168,WAL0227,S010,2026-06-14,46.13,36.9,0.2,4,2,88.57,0.4,0.6
MD00169,MIR0422,S008,2026-06-24,152.87,91.72,0.4,5,3,256.82,0.4,0.7
MD00170,FUR0642,S005,2026-06-14,180.87,126.61,0.3,6,3,405.15,0.4,0.8
MD00171,TOW1476,S005,2026-06-18,14.0,8.4,0.4,6,3,26.88,0.4,0.8
MD00172,DEC0129,S008,2026-07-15,67.84,50.88,0.25,6,4,183.17,0.4,0.9
MD00173,DEC0096,S004,2026-06-14,39.06,29.3,0.25,8,4,105.46,0.4,0.9
MD00174,WAL0309,S001,2026-05-30,75.8,45.48,0.4,7,4,163.73,0.4,0.9
MD00175,DEC0031,S001,2026-06-16,110.72,83.04,0.25,5,3,232.51,0.4,0.7
MD00176,TEX0520,S008,2026-08-04,56.86,34.12,0.4,4,2,81.88,0.4,0.6
MD00177,KIT0910,S002,2026-07-18,77.08,61.66,0.2,5,3,197.32,0.4,0.8
MD00178,TEX0475,S002,2026-08-03,22.43,16.82,0.25,5,3,53.83,0.4,0.8
MD00179,WAL0194,S002,2026-06-20,63.07,50.46,0.2,4,2,121.09,0.4,0.6
MD00180,TOW1497,S008,2026-06-19,67.79,47.45,0.3,6,3,132.87,0.5,0.7
MD00181,WAL0305,S002,2026-06-07,36.07,25.25,0.3,5,3,70.7,0.4,0.7
MD00182,WAL0309,S007,2026-07-19,75.8,53.06,0.3,6,4,191.02,0.4,0.9
MD00183,SRV0993,S003,2026-06-08,55.89,44.71,0.2,8,4,178.85,0.7,1.0
MD00184,TAB0811,S004,2026-07-13,189.25,113.55,0.4,5,3,317.94,0.4,0.7
MD00185,WAL0267,S001,2026-07-12,94.59,66.21,0.3,7,4,238.37,0.4,0.9
MD00186,ORG1735,S008,2026-07-31,92.89,69.67,0.25,6,3,195.07,0.4,0.7
MD00187,DEC0080,S009,2026-08-02,83.03,58.12,0.3,5,3,162.74,0.4,0.7
MD00188,FUR0630,S008,2026-07-17,161.39,129.11,0.2,5,3,361.51,0.4,0.7
MD00189,LGT1785,S005,2026-07-07,105.62,63.37,0.4,6,3,202.79,0.4,0.8
MD00190,TEX0436,S002,2026-07-12,68.75,48.12,0.3,6,4,173.25,0.4,0.9
MD00191,BSK1637,S005,2026-07-21,78.46,54.92,0.3,5,2,131.81,0.4,0.6
MD00192,TOW1455,S008,2026-07-06,53.05,37.13,0.3,6,3,103.98,0.4,0.7
MD00193,DEC0164,S002,2026-06-26,63.31,50.65,0.2,6,3,162.07,0.4,0.8
MD00194,WAL0226,S004,2026-07-18,52.55,42.04,0.2,6,4,151.34,0.4,0.9
MD00195,CND2120,S002,2026-06-22,42.79,25.67,0.4,8,3,71.89,0.4,0.7
MD00196,SEA0737,S006,2026-07-20,186.63,130.64,0.3,7,3,365.79,0.4,0.7
MD00197,WAL0292,S002,2026-07-05,39.1,29.33,0.25,7,3,82.11,0.4,0.7
MD00198,BTH1526,S006,2026-06-14,59.45,47.56,0.2,7,4,190.24,0.4,1.0
MD00199,KIT0883,S006,2026-06-29,172.06,137.65,0.2,5,2,330.36,0.4,0.6
MD00200,UTL1087,S007,2026-06-18,59.06,35.44,0.4,5,3,99.22,0.4,0.7
MD00201,KIT0923,S008,2026-07-15,83.35,50.01,0.4,6,4,180.04,0.4,0.9
MD00202,TEX0440,S009,2026-07-10,67.04,53.63,0.2,5,3,171.62,0.4,0.8
MD00203,WIN2080,S007,2026-08-05,64.97,51.98,0.2,10,6,291.07,0.6,1.4
MD00204,WAL0317,S010,2026-07-14,169.62,127.22,0.25,5,3,407.09,0.4,0.8
MD00205,LGT1801,S005,2026-06-23,240.32,168.22,0.3,6,3,471.03,0.4,0.7
MD00206,TOW1435,S006,2026-07-23,17.43,13.94,0.2,5,2,33.47,0.4,0.6
MD00207,DEC0082,S009,2026-07-17,118.54,88.91,0.25,5,3,248.93,0.4,0.7
MD00208,WAL0301,S007,2026-07-31,71.92,43.15,0.4,5,3,120.83,0.4,0.7
MD00209,SHT1261,S003,2026-07-23,64.63,45.24,0.3,6,3,126.67,0.4,0.7
MD00210,TEX0451,S005,2026-07-15,25.95,20.76,0.2,6,4,74.74,0.4,0.9
MD00211,MIR0387,S007,2026-06-03,196.78,118.07,0.4,5,2,283.36,0.4,0.6
MD00212,DEC0009,S009,2026-07-25,25.94,20.75,0.2,4,2,49.8,0.4,0.6
MD00213,TEX0512,S003,2026-07-14,23.51,14.11,0.4,5,3,45.14,0.4,0.8
MD00214,SRV1022,S001,2026-06-23,64.1,38.46,0.4,4,2,92.3,0.4,0.6
MD00215,KIT0943,S004,2026-06-27,115.4,86.55,0.25,5,3,276.96,0.4,0.8
MD00216,FUR0649,S007,2026-07-24,312.14,187.28,0.4,6,3,524.4,0.4,0.7
MD00217,SRV0980,S006,2026-07-21,111.57,83.68,0.25,5,2,200.83,0.4,0.6
MD00218,CHR1951,S008,2026-06-19,50.1,40.08,0.2,6,3,112.22,0.4,0.7
MD00219,GFT2239,S008,2026-07-23,26.26,18.38,0.3,11,7,125.0,0.7,1.7
MD00220,DEC0059,S001,2026-07-08,74.0,59.2,0.2,5,3,165.76,0.4,0.7
MD00221,SUM2029,S009,2026-06-24,144.59,101.21,0.3,5,2,242.91,0.4,0.6
MD00222,KIT0879,S003,2026-07-10,207.66,155.75,0.25,6,4,560.68,0.4,0.9
MD00223,WAL0257,S002,2026-07-23,47.93,33.55,0.3,5,3,93.94,0.4,0.7
MD00224,DEC0083,S005,2026-06-10,55.06,38.54,0.3,4,2,92.5,0.4,0.6
MD00225,WAL0256,S006,2026-07-09,58.34,40.84,0.3,4,2,98.01,0.4,0.6
MD00226,PIL1339,S006,2026-06-15,89.47,62.63,0.3,6,3,200.41,0.4,0.8
MD00227,FUR0600,S004,2026-07-21,323.11,258.49,0.2,6,3,723.77,0.4,0.7
MD00228,KIT0945,S002,2026-07-26,75.54,45.32,0.4,6,4,181.3,0.5,1.0
MD00229,UTL1126,S007,2026-07-24,24.45,18.34,0.25,7,3,58.68,0.4,0.8
MD00230,SRV1006,S002,2026-07-05,125.25,100.2,0.2,6,3,320.64,0.4,0.8
MD00231,WAL0205,S005,2026-06-25,73.43,55.07,0.25,4,2,132.17,0.4,0.6
MD00232,ORG1729,S003,2026-06-26,102.97,77.23,0.25,7,4,278.02,0.4,0.9
MD00233,WAL0253,S006,2026-07-29,142.14,99.5,0.3,5,3,318.39,0.4,0.8
MD00234,DEC0027,S005,2026-06-30,66.68,46.68,0.3,6,3,149.36,0.4,0.8
MD00235,SEA0750,S003,2026-08-02,256.59,179.61,0.3,7,4,646.61,0.4,0.9
MD00236,BTH1533,S001,2026-06-19,85.12,63.84,0.25,7,4,229.82,0.4,0.9
MD00237,FUR0666,S005,2026-06-07,483.08,289.85,0.4,6,4,1043.45,0.4,0.9
MD00238,WAL0217,S001,2026-08-03,131.52,105.22,0.2,6,4,420.86,0.4,1.0
MD00239,MIR0378,S002,2026-07-22,121.12,84.78,0.3,6,3,237.4,0.4,0.7
MD00240,TEX0526,S006,2026-06-09,58.51,40.96,0.3,7,3,131.06,0.4,0.8
MD00241,WAL0337,S007,2026-06-15,102.83,61.7,0.4,6,2,148.08,0.4,0.6
MD00242,UTL1081,S004,2026-07-27,53.36,37.35,0.3,6,3,119.53,0.4,0.8
MD00243,SEA0760,S003,2026-07-12,814.68,611.01,0.25,5,3,1710.83,0.4,0.7
MD00244,KIT0968,S007,2026-07-27,40.25,30.19,0.25,5,3,96.6,0.4,0.8
MD00245,SEA0688,S009,2026-06-20,680.2,476.14,0.3,5,3,1333.19,0.4,0.7
MD00246,MIR0394,S009,2026-07-15,201.91,141.34,0.3,5,3,395.74,0.4,0.7
MD00247,MIR0376,S003,2026-07-08,128.87,96.65,0.25,5,3,309.29,0.4,0.8
MD00248,TEX0461,S003,2026-06-22,99.34,74.5,0.25,6,4,298.02,0.4,1.0
MD00249,TEX0466,S005,2026-06-03,83.83,62.87,0.25,8,4,226.34,0.4,0.9
MD00250,TEX0477,S006,2026-07-10,21.52,15.06,0.3,6,3,48.2,0.4,0.8
MD00251,WAL0269,S004,2026-06-17,104.49,62.69,0.4,5,3,200.62,0.4,0.8
MD00252,TEX0512,S008,2026-07-04,23.51,17.63,0.25,6,3,49.37,0.4,0.7
MD00253,KIT0945,S008,2026-06-25,75.54,56.66,0.25,9,3,181.3,0.4,0.8
MD00254,MIR0415,S007,2026-06-20,109.24,87.39,0.2,6,4,314.61,0.4,0.9
MD00255,TEX0466,S006,2026-08-05,83.83,58.68,0.3,7,4,234.72,0.4,1.0
MD00256,DEC0054,S006,2026-06-30,75.9,56.93,0.25,5,3,159.39,0.4,0.7
MD00257,DEC0109,S009,2026-06-23,85.22,59.65,0.3,6,4,214.75,0.4,0.9
MD00258,DEC0095,S004,2026-06-20,29.23,23.38,0.2,4,2,56.12,0.4,0.6
MD00259,KIT0893,S009,2026-06-15,95.74,57.44,0.4,6,4,206.8,0.4,0.9
MD00260,KIT0968,S009,2026-07-17,40.25,28.17,0.3,6,4,101.43,0.4,0.9
MD00261,DEC0054,S007,2026-06-22,75.9,53.13,0.3,5,3,148.76,0.4,0.7
MD00262,SEA0744,S009,2026-06-30,214.72,171.78,0.2,5,3,549.68,0.4,0.8
MD00263,LGT1773,S010,2026-07-30,234.53,175.9,0.25,7,4,703.59,0.5,1.0
MD00264,GFT2253,S003,2026-07-20,97.79,78.23,0.2,7,4,312.93,0.4,1.0
MD00265,SEA0701,S010,2026-08-05,239.33,179.5,0.25,7,3,574.39,0.4,0.8
MD00266,DEC0140,S010,2026-07-22,44.34,31.04,0.3,5,2,74.49,0.4,0.6
MD00267,FUR0663,S003,2026-06-18,212.81,127.69,0.4,5,3,357.52,0.4,0.7
MD00268,TEX0451,S003,2026-06-28,25.95,19.46,0.25,6,4,70.06,0.4,0.9
MD00269,TEX0487,S003,2026-08-01,80.93,48.56,0.4,5,3,135.96,0.4,0.7
MD00270,TAB0804,S009,2026-07-04,461.4,322.98,0.3,7,4,1291.92,0.4,1.0
MD00271,TEX0466,S002,2026-06-29,83.83,62.87,0.25,4,2,150.89,0.4,0.6
MD00272,KIT0885,S002,2026-06-03,88.3,52.98,0.4,5,3,169.54,0.4,0.8
MD00273,SUM2036,S008,2026-07-09,36.86,25.8,0.3,7,4,92.89,0.4,0.9
MD00274,UTL1108,S010,2026-07-02,29.94,23.95,0.2,5,3,67.07,0.4,0.7
MD00275,SRV0984,S010,2026-07-01,52.13,41.7,0.2,5,3,133.45,0.4,0.8
MD00276,MIR0383,S005,2026-07-14,65.24,52.19,0.2,4,2,125.26,0.4,0.6
MD00277,FLR1852,S008,2026-07-16,162.56,113.79,0.3,7,3,364.13,0.4,0.8
MD00278,FUR0572,S007,2026-06-21,134.27,93.99,0.3,5,3,300.76,0.4,0.8
MD00279,SRV1026,S002,2026-06-27,116.2,69.72,0.4,6,4,250.99,0.4,0.9
MD00280,MIR0425,S009,2026-07-13,96.53,72.4,0.25,5,3,202.71,0.4,0.7
MD00281,TAB0811,S008,2026-08-05,189.25,151.4,0.2,4,2,363.36,0.4,0.6
