PO_Number,Vendor_ID,SKU_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Units_Ordered,Units_Received,Unit_Cost,Total_Cost,Delivery_Status
PO000172,V006,TAB0815,2025-05-11,2025-06-16,2025-06-14,24,24,200.55,4813.2,On Time
PO000173,V005,SHL1689,2025-12-25,2026-02-04,2026-02-04,36,36,23.21,835.56,On Time
PO000174,V006,PEN1892,2025-09-09,2025-10-15,2025-10-21,24,24,89.96,2159.04,Late
PO000175,V002,WAL0220,2026-04-17,2026-05-22,2026-05-25,36,18,83.46,3004.56,Late
PO000176,V004,TOW1446,2026-02-13,2026-03-03,2026-03-03,24,24,16.47,395.28,On Time
PO000177,V019,BTH1522,2025-09-08,2025-10-13,2025-10-18,36,36,13.26,477.36,Late
PO000178,V015,TOW1462,2025-10-16,2025-11-09,2025-11-12,24,24,25.09,602.16,Late
PO000179,V020,DEC0148,2025-12-01,2025-12-30,2025-12-27,36,36,27.21,979.56,On Time
PO000180,V014,WAL0250,2025-09-19,2025-10-30,2025-10-28,36,18,34.34,1236.24,On Time
PO000181,V019,BSK1594,2025-07-24,2025-08-28,2025-08-29,120,120,40.22,4826.4,On Time
PO000182,V013,TEX0444,2026-03-25,2026-04-17,2026-04-22,96,96,45.21,4340.16,Late
PO000183,V009,MIR0375,2025-08-28,2025-10-15,2025-10-19,72,72,67.55,4863.6,Late
PO000184,V013,PEN1916,2025-08-27,2025-09-19,2025-09-24,96,96,123.92,11896.32,Late
PO000185,V017,KIT0896,2026-03-28,2026-04-12,2026-04-15,24,24,17.67,424.08,Late
PO000186,V002,SEA0680,2026-03-26,2026-04-30,2026-05-11,120,120,293.69,35242.8,Late
PO000187,V004,DEC0046,2026-03-27,2026-04-14,2026-04-16,24,24,12.11,290.64,On Time
PO000188,V007,KIT0935,2025-07-09,2025-07-29,2025-08-06,72,66,50.28,3620.16,Late
PO000189,V003,TEX0437,2025-02-12,2025-04-15,2025-04-22,36,36,25.32,911.52,Late
PO000190,V003,WAL0263,2025-04-16,2025-06-17,2025-06-18,24,24,33.1,794.4,On Time
PO000191,V009,SHT1275,2026-05-22,2026-07-09,2026-07-11,120,102,30.26,3631.2,On Time
PO000192,V005,TAB0780,2025-05-15,2025-06-25,2025-06-23,36,36,90.09,3243.24,On Time
PO000193,V004,UTL1103,2025-06-02,2025-06-20,2025-06-29,120,120,27.54,3304.8,Late
PO000194,V014,WIN2070,2025-02-21,2025-04-03,2025-04-09,48,30,23.16,1111.68,Late
PO000195,V005,HAL2020,2025-08-05,2025-09-15,2025-09-11,120,120,25.77,3092.4,On Time
PO000196,V020,LGT1817,2025-11-02,2025-12-01,2025-12-02,72,72,103.89,7480.08,On Time
PO000197,V018,DUV1225,2025-11-01,2025-11-16,2025-11-17,24,24,138.75,3330.0,On Time
PO000198,V020,DEC0131,2026-04-06,2026-05-05,2026-05-05,120,120,37.83,4539.6,On Time
PO000199,V002,FUR0614,2026-04-30,2026-06-04,2026-06-06,120,102,203.93,24471.6,On Time
PO000200,V015,WAL0219,2025-06-28,2025-07-22,2025-07-18,72,72,73.22,5271.84,On Time
PO000201,V020,SHL1654,2025-08-11,2025-09-09,2025-09-08,48,48,46.72,2242.56,On Time
PO000202,V009,SRV0978,2025-12-22,2026-02-08,2026-02-10,96,96,16.68,1601.28,On Time
PO000203,V008,TOW1472,2026-03-21,2026-05-03,2026-05-07,36,36,19.01,684.36,Late
PO000204,V004,CND2146,2026-06-21,2026-07-09,2026-07-12,72,72,35.43,2550.96,Late
PO000205,V014,TAB0799,2025-12-04,2026-01-14,2026-01-20,120,120,102.98,12357.6,Late
PO000206,V020,GFT2217,2025-03-05,2025-04-03,2025-04-05,36,24,12.13,436.68,On Time
PO000207,V018,SHT1262,2026-07-02,2026-07-17,2026-07-13,120,120,65.61,7873.2,On Time
PO000208,V020,CND2114,2025-12-20,2026-01-18,2026-01-18,36,36,4.82,173.52,On Time
PO000209,V013,KIT0947,2026-04-17,2026-05-10,2026-05-11,48,48,57.56,2762.88,On Time
PO000210,V002,DEC0023,2025-06-01,2025-07-06,2025-07-04,96,96,55.59,5336.64,On Time
PO000211,V006,TOW1483,2025-11-28,2026-01-03,2026-01-09,96,96,30.99,2975.04,Late
PO000212,V015,TOW1416,2025-06-27,2025-07-21,2025-08-01,96,96,25.09,2408.64,Late
PO000213,V012,WAL0224,2025-02-26,2025-03-24,2025-03-28,36,36,44.34,1596.24,Late
PO000214,V006,DEC0172,2026-02-26,2026-04-03,2026-04-05,96,96,46.63,4476.48,On Time
PO000215,V015,DEC0019,2026-04-29,2026-05-23,2026-05-31,24,24,30.39,729.36,Late
PO000216,V018,KIT0945,2025-12-27,2026-01-11,2026-01-12,72,72,29.25,2106.0,On Time
PO000217,V019,CND2108,2026-04-13,2026-05-18,2026-05-27,120,120,17.22,2066.4,Late
PO000218,V004,TAB0837,2026-01-13,2026-01-31,2026-01-25,36,36,179.6,6465.6,On Time
PO000219,V002,SRV1020,2026-03-24,2026-04-28,2026-04-28,120,120,50.23,6027.6,On Time
PO000220,V015,SUM2062,2025-02-11,2025-03-07,2025-03-05,72,60,40.76,2934.72,On Time
PO000221,V010,SRV1075,2026-06-24,2026-08-15,2026-08-10,96,96,60.29,5787.84,On Time
PO000222,V002,MIR0420,2026-02-23,2026-03-30,2026-04-09,36,36,59.96,2158.56,Late
PO000223,V015,DEC0122,2026-04-09,2026-05-03,2026-04-20,96,96,61.18,5873.28,On Time
PO000224,V017,FUR0668,2026-06-13,2026-06-28,2026-07-07,24,24,151.44,3634.56,Late
PO000225,V019,ORG1751,2026-03-26,2026-04-30,2026-04-22,72,72,17.12,1232.64,On Time
PO000226,V017,GFT2216,2026-04-30,2026-05-15,2026-05-12,96,96,29.55,2836.8,On Time
PO000227,V005,CHR1963,2026-05-15,2026-06-25,2026-06-21,96,96,52.02,4993.92,On Time
PO000228,V012,TOW1484,2025-07-14,2025-08-09,2025-08-12,36,36,31.2,1123.2,Late
PO000229,V003,KIT0937,2025-03-15,2025-05-16,2025-05-10,96,96,22.57,2166.72,On Time
PO000230,V018,CHR1928,2025-05-29,2025-06-13,2025-06-13,36,36,61.62,2218.32,On Time
PO000231,V003,KIT0934,2026-02-03,2026-04-06,2026-04-09,72,72,75.52,5437.44,Late
PO000232,V010,MIR0424,2026-07-04,2026-08-25,2026-08-22,120,120,46.85,5622.0,On Time
PO000233,V011,FUR0627,2025-04-13,2025-05-25,2025-05-25,36,36,176.44,6351.84,On Time
PO000234,V007,FUR0598,2026-01-31,2026-02-20,2026-02-26,36,36,87.92,3165.12,Late
PO000235,V018,HAL1988,2026-04-20,2026-05-05,2026-05-14,36,36,22.92,825.12,Late
PO000236,V003,UTL1094,2025-03-08,2025-05-09,2025-05-05,48,42,12.51,600.48,On Time
PO000237,V014,UTL1087,2025-09-26,2025-11-06,2025-11-03,48,36,30.8,1478.4,On Time
PO000238,V015,SRV0990,2026-03-15,2026-04-08,2026-04-11,24,24,68.52,1644.48,Late
PO000239,V014,TOW1453,2025-08-28,2025-10-08,2025-10-13,120,120,18.25,2190.0,Late
PO000240,V003,ORG1734,2026-01-22,2026-03-25,2026-03-23,96,96,40.19,3858.24,On Time
PO000241,V013,BTH1533,2025-08-10,2025-09-02,2025-09-02,48,48,34.75,1668.0,On Time
PO000242,V015,ORG1736,2026-02-26,2026-03-22,2026-03-25,72,72,42.84,3084.48,Late
PO000243,V012,DEC0004,2025-02-08,2025-03-06,2025-03-04,24,24,16.71,401.04,On Time
PO000244,V016,FUR0645,2026-04-17,2026-05-01,2026-04-30,72,72,45.61,3283.92,On Time
PO000245,V005,TAB0812,2026-04-17,2026-05-28,2026-05-27,72,72,78.24,5633.28,On Time
PO000246,V014,CND2119,2025-12-18,2026-01-28,2026-02-03,24,24,22.53,540.72,Late
PO000247,V007,HAL1992,2025-06-30,2025-07-20,2025-08-05,48,48,18.25,876.0,Late
PO000248,V011,FLR1864,2025-02-26,2025-04-09,2025-04-12,36,30,100.33,3611.88,Late
PO000249,V002,WAL0277,2026-01-11,2026-02-15,2026-02-25,36,36,88.61,3189.96,Late
PO000250,V017,BTH1508,2025-03-30,2025-04-14,2025-04-22,48,48,28.75,1380.0,Late
PO000251,V014,WIN2067,2025-04-15,2025-05-26,2025-05-26,120,120,32.93,3951.6,On Time
PO000252,V019,FRM2205,2025-08-17,2025-09-21,2025-09-19,36,36,25.5,918.0,On Time
PO000253,V019,SHT1308,2025-03-16,2025-04-20,2025-04-24,36,36,63.4,2282.4,Late
PO000254,V003,TOW1454,2026-02-18,2026-04-21,2026-04-27,120,120,20.93,2511.6,Late
PO000255,V015,KIT0933,2025-11-13,2025-12-07,2025-12-17,36,36,42.06,1514.16,Late
PO000256,V018,TEX0519,2025-03-22,2025-04-06,2025-04-05,48,48,9.49,455.52,On Time
PO000257,V006,MIR0403,2025-09-13,2025-10-19,2025-10-23,72,72,50.09,3606.48,Late
PO000258,V017,GFT2216,2026-01-14,2026-01-29,2026-01-29,36,36,29.55,1063.8,On Time
PO000259,V003,TOW1494,2025-09-01,2025-11-02,2025-11-09,72,72,31.49,2267.28,Late
PO000260,V004,DUV1209,2025-05-24,2025-06-11,2025-06-04,96,96,132.7,12739.2,On Time
PO000261,V012,TAB0804,2026-05-04,2026-05-30,2026-06-03,24,24,187.82,4507.68,Late
PO000262,V003,CND2106,2025-12-05,2026-02-05,2026-02-10,72,72,40.14,2890.08,Late
PO000263,V015,SEA0753,2025-04-07,2025-05-01,2025-05-03,96,96,310.3,29788.8,On Time
PO000264,V005,GFT2229,2025-03-04,2025-04-14,2025-04-20,48,48,33.39,1602.72,Late
PO000265,V005,FUR0603,2026-01-27,2026-03-09,2026-03-02,48,30,120.06,5762.88,On Time
PO000266,V019,FLR1848,2025-03-25,2025-04-29,2025-04-24,72,66,131.97,9501.84,On Time
PO000267,V016,TOW1473,2026-05-03,2026-05-17,2026-05-16,72,66,18.15,1306.8,On Time
PO000268,V008,SHT1241,2025-04-30,2025-06-12,2025-06-16,96,96,62.35,5985.6,Late
PO000269,V006,SRV0972,2025-05-27,2025-07-02,2025-06-27,36,36,35.9,1292.4,On Time
